MATLAB index,fpga,bank_index,in_bank_index,x,y
227,1,0,51,45.00000000000001,77.94228634059947
228,0,0,234,35.00000000000001,77.94228634059947
229,0,0,226,25.000000000000007,77.94228634059947
230,0,0,218,15.000000000000007,77.94228634059947
231,0,0,210,5.000000000000007,77.94228634059947
232,0,0,202,-4.999999999999993,77.94228634059947
233,0,0,194,-14.999999999999993,77.94228634059947
234,0,0,186,-24.999999999999993,77.94228634059947
235,0,0,178,-34.99999999999999,77.94228634059947
236,0,0,170,-44.99999999999999,77.94228634059947
237,0,0,171,-49.99999999999999,69.28203230275508
238,0,0,52,-54.99999999999999,60.6217782649107
239,0,0,53,-59.99999999999999,51.96152422706631
240,0,0,54,-65.0,43.301270189221924
241,0,0,55,-70.0,34.64101615137754
242,0,0,48,-75.0,25.980762113533157
243,0,0,49,-80.0,17.32050807568877
244,0,0,50,-85.0,8.660254037844386
245,0,0,51,-90.0,0.0
246,2,0,234,-85.0,-8.660254037844386
247,2,0,226,-80.0,-17.32050807568877
248,2,0,218,-75.0,-25.980762113533157
249,2,0,210,-70.0,-34.64101615137754
250,2,0,202,-65.0,-43.301270189221924
251,2,0,194,-60.00000000000001,-51.96152422706631
252,2,0,186,-55.00000000000001,-60.6217782649107
253,2,0,178,-50.00000000000001,-69.28203230275508
254,2,0,170,-45.00000000000001,-77.94228634059947
255,2,0,171,-35.00000000000001,-77.94228634059947
256,2,0,52,-25.000000000000007,-77.94228634059947
257,2,0,53,-15.000000000000007,-77.94228634059947
258,2,0,54,-5.000000000000007,-77.94228634059947
259,2,0,55,4.999999999999993,-77.94228634059947
260,2,0,48,14.999999999999993,-77.94228634059947
261,2,0,49,24.999999999999993,-77.94228634059947
262,2,0,50,34.99999999999999,-77.94228634059947
263,2,0,51,44.99999999999999,-77.94228634059947
264,1,0,234,49.99999999999999,-69.28203230275508
265,1,0,226,54.99999999999999,-60.6217782649107
266,1,0,218,59.99999999999999,-51.96152422706631
267,1,0,210,65.0,-43.301270189221924
268,1,0,202,70.0,-34.64101615137754
269,1,0,194,75.0,-25.980762113533157
270,1,0,186,80.0,-17.32050807568877
271,1,0,178,85.0,-8.660254037844386
272,1,0,161,100.0,0.0
273,1,0,162,95.0,8.660254037844386
274,1,0,163,90.0,17.32050807568877
275,1,0,44,85.0,25.980762113533157
276,1,0,45,80.0,34.64101615137754
277,1,0,46,75.0,43.301270189221924
278,1,0,47,70.0,51.96152422706631
279,1,0,40,65.0,60.6217782649107
280,1,0,41,60.00000000000001,69.28203230275508
281,1,0,42,55.00000000000001,77.94228634059947
